Case Number,Case Title,Requesting Court,Topics,Judgment ECLI,Judgment CELEX,Has AG Opinion,AG Opinion Title,AG Opinion ECLI,Has Summary,Summary CELEX
Case C‑414/12 P,Case C‑414/12 P Bolloré v Commission,,,ECLI:EU:C:2014:301,62012CJ0414,No,,,No,
Case C‑608/12 P,Case C‑608/12 P Greinwald v Wessang,,,,,No,,,No,
Case C‑411/13 P,Case C‑411/13 P OHIM v Sanco,,,,,No,,,No,
Case C‑97/12 P,Case C‑97/12 P Louis Vuitton Malletier v OHIM,,,ECLI:EU:C:2014:324,62012CJ0097,No,,,No,
Case C‑90/13 P,Case C‑90/13 P 1. garantovaná v Commission,,,ECLI:EU:C:2014:326,62013CJ0090,No,,,No,
Case C‑414/13 P,Case C‑414/13 P Reber Holding v OHIM,,,,,No,,,No,
Case C‑287/13 P,Case C‑287/13 P Bilbaína de Alquitranes and Others v ECHA,,,,,No,,,No,
Case C‑339/13,Case C‑339/13 Commission v Italy,,,ECLI:EU:C:2014:353,62013CJ0339,No,,,No,
Joined Cases C‑24/12 and C‑27/12,Joined Cases C‑24/12 and C‑27/12 :,,,ECLI:EU:C:2014:1385,62012CJ0024,No,,,Yes,62012CJ0024
Case C‑198/12,Case C‑198/12 Commission v Bulgaria,,,ECLI:EU:C:2014:1316,62012CJ0198,Yes,Opinion of Advocate General Jääskinen delivered on 14 November 2013,ECLI:EU:C:2013:739,Yes,62012CJ0198
Case C‑360/12,Case C‑360/12 Coty Germany (anciennement Coty Prestige Lancaster Group) v First Note Perfumes,Request for a preliminary ruling from the Bundesgerichtshof,,ECLI:EU:C:2014:1318,62012CJ0360,Yes,Opinion of Advocate General Jääskinen delivered on 21 November 2013,ECLI:EU:C:2013:764,Yes,62012CJ0360
Case C‑398/12,Case C‑398/12 Criminal proceedings against M,Request for a preliminary ruling from the Tribunale di Fermo,,ECLI:EU:C:2014:1057,62012CJ0398,Yes,Opinion of Advocate General Sharpston delivered on 6 February 2014,ECLI:EU:C:2014:65,Yes,62012CJ0398
Case C‑557/12,Case C‑557/12 KONE and Others v ÖBB Infrastruktur,Request for a preliminary ruling from the Oberster Gerichtshof,,ECLI:EU:C:2014:1317,62012CJ0557,Yes,Opinion of Advocate General Kokott delivered on 30 January 2014,ECLI:EU:C:2014:45,Yes,62012CJ0557
Case C‑105/13,Case C‑105/13 Vonk Noordegraaf v Staatssecretaris van Economische Zaken,Request for a preliminary ruling from the College van Beroep voor het bedrijfsleven,,ECLI:EU:C:2014:1126,62013CJ0105,Yes,Opinion of Advocate General Kokott delivered on 6 February 2014,ECLI:EU:C:2014:64,Yes,62013CJ0105
Case C‑255/13,Case C‑255/13 I v Health Service Executive,Request for a preliminary ruling from the High Court (Ireland),Reference for a preliminary ruling — Social security — Regulation (EC) No 883/2004 — Articles 19(1) and 20(1) and (2) — Regulation (EC) No 987/2009 — Article 11 — National of a Member State insured in his State of residence — Sudden serious illness occurring while on holiday in another Member State — Person compelled to remain in that second Member State for 11 years as a result of his illness and the fact that specialist medical care is available close to the place where he lives — Provision of benefits in kind in the second Member State — Definition of ‘residence’ and ‘stay’,ECLI:EU:C:2014:1291,62013CJ0255,Yes,Opinion of Advocate General Wahl delivered on 20 March 2014,ECLI:EU:C:2014:178,Yes,62013CJ0255
Case C‑350/13,Case C‑350/13 Antonio Gramsci Shipping and Others v Lembergs,Request for a preliminary ruling from the Augstākās tiesas Senāts,Reference for a preliminary ruling — Judicial cooperation in civil matters — Regulation (EC) No 44/2001 — Recognition and enforcement of provisional and protective measures — Annulment of the initial decision — Maintenance of the request for a preliminary ruling — No need to adjudicate,,,No,,,Yes,62013CO0350
Case C‑360/13,Case C‑360/13 Public Relations Consultants Association v Newspaper Licensing Agency,Request for a preliminary ruling from the Supreme Court of the United Kingdom,,ECLI:EU:C:2014:1195,62013CJ0360,No,,,Yes,62013CJ0360
Case C‑500/13,Case C‑500/13 Gmina Międzyzdroje v Minister Finansów,Request for a preliminary ruling from the Naczelny Sąd Administracyjny,,,,No,,,Yes,62013CO0500
Case C‑146/14 PPU,"Case C‑146/14 PPU Direktor na Direktsia ""Migratsia"" pri Ministerstvo na vatreshnite raboti v Mahdi",Request for a preliminary ruling from the Administrativen sad Sofia-grad,,ECLI:EU:C:2014:1320,62014CJ0146,No,,,Yes,62014CJ0146
Case C‑169/14,Case C‑169/14 Sánchez Morcillo and Abril García v Banco Bilbao Vizcaya Argentaria,Request for a preliminary ruling from the Audiencia Provincial de Castellón,,,,No,,,Yes,62014CO0169
Case C‑377/12,Case C‑377/12 Commission v Council,,,ECLI:EU:C:2014:1903,62012CJ0377,Yes,Opinion of Advocate General Mengozzi delivered on 23 January 2014,ECLI:EU:C:2014:29,Yes,62012CJ0377
Case C‑578/11 P,Case C‑578/11 P Deltafina v Commission,,,ECLI:EU:C:2014:1742,62011CJ0578,Yes,Opinion of Advocate General Sharpston delivered on 27 March 2014,ECLI:EU:C:2014:199,Yes,62011CJ0578
Case C‑461/12,Case C‑461/12 Granton Advertising v Inspecteur van de Belastingdienst Haaglanden/kantoor Den Haag,Request for a preliminary ruling from the Gerechtshof ’s-Hertogenbosch,Reference for a preliminary ruling — Sixth VAT Directive — Exemptions — Article 13(B)(d)(3) and (5) — ‘Other securities’ and ‘other negotiable instruments’ — Sales promotion scheme — Discount card — Taxable amount,ECLI:EU:C:2014:1745,62012CJ0461,Yes,Opinion of Advocate General Kokott delivered on 24 October 2013,ECLI:EU:C:2013:700,Yes,62012CJ0461
Joined Cases C‑39/13 to C‑41/13,Joined Cases C‑39/13 to C‑41/13 Inspecteur van de Belastingdienst/Noord/kantoor Groningen and Others v SCA Group Holding and Others,Request for a preliminary ruling from the Gerechtshof Amsterdam,,ECLI:EU:C:2014:1758,62013CJ0039,Yes,Opinion of Advocate General Kokott delivered on 27 February 2014,ECLI:EU:C:2014:104,Yes,62013CJ0039
Case C‑75/13,Case C‑75/13 SEK Zollagentur v Hauptzollamt Gießen,,Reference for a preliminary ruling from the Bundesfinanzhof,ECLI:EU:C:2014:1759,62013CJ0075,No,,,Yes,62013CJ0075
Case C‑118/13,Case C‑118/13 Bollacke v K + K Klaas & Kock,Request for a preliminary ruling from the Landesarbeitsgericht Hamm,Reference for a preliminary ruling — Social policy — Directive 2003/88/EC — Organisation of working time — Paid annual leave — Allowance in lieu in the event of death,ECLI:EU:C:2014:1755,62013CJ0118,No,,,Yes,62013CJ0118
Case C‑156/13,Case C‑156/13 Digibet and Albers v Westdeutsche Lotterie,Request for a preliminary ruling from the Bundesgerichtshof,Reference for a preliminary ruling — Freedom to provide services — Article 56 TFEU — Betting and gaming — Federal legislation banning games of chance via the internet which was not applied for a limited period in a federal entity of a Member State — Consistency — Proportionality,ECLI:EU:C:2014:1756,62013CJ0156,No,,,Yes,62013CJ0156
Case C‑314/13,Case C‑314/13 Užsienio reikalų ministerija v Peftiev and Others,Request for a preliminary ruling from the Lietuvos vyriausiasis administracinis teismas,,ECLI:EU:C:2014:1645,62013CJ0314,No,,,Yes,62013CJ0314
Case C‑330/13,Case C‑330/13 Lukoyl Neftohim Burgas v Nachalnik na Mitnicheski punkt „Pristanishte Burgas Tsentar“ pri Mitnitsa Burgas,Request for a preliminary ruling from the Administrativen sad Burgas,"Reference for a preliminary ruling — Common Customs Tariff — Combined Nomenclature — Classification of goods — Goods described as ‘heavy oils, lubricating oils or other oils for undergoing a specific process’ — Headings 2707 and 2710 — Aromatic and non aromatic constituents — Relationship between the Combined Nomenclature and the Harmonised System",ECLI:EU:C:2014:1757,62013CJ0330,No,,,Yes,62013CJ0330
Case C‑377/13,"Case C‑377/13 Ascendi  Beiras Litoral e Alta, Auto Estradas das Beiras Litoral e Alta
 v Autoridade Tributária e Aduaneira",Request for a preliminary ruling from the Tribunal Arbitral Tributário (Centro de Arbitragem Administrativa — CAAD),"Reference for a preliminary ruling — Concept of ‘court or tribunal of a Member State’ — Tribunal Arbitral Tributário — Directive 69/335/EEC — Articles 4 and 7 — Increase of the share capital of a capital company — Stamp duty in force on 1 July 1984 — That stamp duty subsequently abolished, and then re-introduced",ECLI:EU:C:2014:1754,62013CJ0377,Yes,Opinion of Advocate General Szpunar delivered on 8 April 2014,ECLI:EU:C:2014:246,Yes,62013CJ0377
Case C‑21/14 P-R,Case C‑21/14 P-R Commission v Council,,,,,No,,,Yes,62014CO0021
Case C‑243/12 P,Case C‑243/12 P FLS Plast v Commission,,,ECLI:EU:C:2014:2006,62012CJ0243,No,,,Yes,62012CJ0243
"Joined Cases C‑501/12 to C‑506/12, C‑540/12 and C‑541/12","Joined Cases C‑501/12 to C‑506/12, C‑540/12 and C‑541/12 Specht and Others v Land Berlin and Bundesrepublik Deutschland",,"Reference for a preliminary ruling — Social policy — Directive 2000/78/EC — Equal treatment ‘in employment and occupation’ — Articles 2, 3(1)(c) and 6(1) — Direct discrimination on grounds of age — Basic pay for civil servants dependent upon age — Transitional system — Perpetuation of the difference in treatment — Justifications — Right to compensation — Liability of the Member State — Principles of equivalence and of effectiveness",ECLI:EU:C:2014:2005,62012CJ0501,No,,,Yes,62012CJ0501
Case C‑507/12,Case C‑507/12 Saint Prix v Secretary of State for Work and Pensions,Request for a preliminary ruling from the Supreme Court of the United Kingdom,,ECLI:EU:C:2014:2007,62012CJ0507,Yes,Opinion of Advocate General Wahl delivered on 12 December 2013,ECLI:EU:C:2013:841,Yes,62012CJ0507
Case C‑531/12 P,Case C‑531/12 P Commune de Millau and SEMEA v Commission,,,ECLI:EU:C:2014:2008,62012CJ0531,Yes,Opinion of Advocate General Kokott delivered on 27 February 2014,ECLI:EU:C:2014:1946,Yes,62012CJ0531
Case C‑556/12,Case C‑556/12 TDC v Teleklagenævnet,Request for a preliminary ruling from the Østre Landsret,"Reference for a preliminary ruling — Electronic communications networks and services — Directive 2002/19/EC — Article 2(a) — Access to and use of specific network elements and associated facilities — Articles 5, 8, 12 and 13 — Competence of the national regulatory authorities — Obligation relating to access to and use of specific network elements and associated facilities — Undertaking with significant market power on a specific market — Drop cable connecting the distribution frame of the access network to the network termination point at the end-user’s premises — Proportionality of the obligation to meet reasonable requests for access to and use of specific network elements and associated facilities — Directive 2002/21/EC — Article 8 — Policy objectives for the carrying out of the tasks of the national regulatory authorities",ECLI:EU:C:2014:2009,62012CJ0556,Yes,Opinion of Advocate General Cruz Villalón delivered on 16 January 2014,ECLI:EU:C:2014:17,Yes,62012CJ0556
Case C‑574/12,Case C‑574/12 Centro Hospitalar de Setúbal and SUCH v Eurest Portugal,Request for a preliminary ruling from the Supremo Tribunal Administrativo,"Reference for a preliminary ruling — Public service contracts — Directive 2004/18/EC — Award of the contract without a procurement procedure (in-house award) — Contractor legally separate from the awarding authority — Centre for hospital assistance and support services — Non-profit association operating in the public interest — Majority of the partners made up of awarding authorities — Minority of the partners made up of entities under private law, non-profit charitable associations — Activity carried out of at least 80% of the annual turnover for the partners’ benefit",ECLI:EU:C:2014:2004,62012CJ0574,Yes,Opinion of Advocate General Mengozzi delivered on 27 February 2014,ECLI:EU:C:2014:120,Yes,62012CJ0574
Case C‑11/13,Case C‑11/13 Bayer CropScience v Deutsches Patent- und Markenamt,Request for a preliminary ruling from the Bundespatentgericht,Reference for a preliminary ruling — Patent law — Plant protection products — Supplementary protection certificate — Regulation (EC) No 1610/96 — Articles 1 and 3 — Terms ‘product’ and ‘active substances’ — Safener,ECLI:EU:C:2014:2010,62013CJ0011,Yes,Opinion of Advocate General Jääskinen delivered on 13 February 2014,ECLI:EU:C:2014:86,Yes,62013CJ0011
Joined Cases C‑53/13 and C‑80/13,Joined Cases C‑53/13 and C‑80/13 Strojírny Prostějov and ACO Industries Tábor v Odvolací finanční ředitelství,,,ECLI:EU:C:2014:2011,62013CJ0053,Yes,Opinion of Advocate General Wathelet delivered on 13 February 2014,ECLI:EU:C:2014:78,Yes,62013CJ0053
Joined Cases C‑217/13 and C‑218/13,Joined Cases C‑217/13 and C‑218/13 Oberbank and Others v Deutscher Sparkassen- und Giroverband,,"Reference for a preliminary ruling — Trade marks — Directive 2008/95/EC — Article 3(1) and (3) — Mark consisting of a contourless red colour, registered for banking services — Application for a declaration of invalidity — Distinctive character acquired through use — Evidence — Consumer survey — Time when distinctive character through use is acquired — Burden of proof",ECLI:EU:C:2014:2012,62013CJ0217,No,,,Yes,62013CJ0217
Case C‑345/13,Case C‑345/13 Karen Millen Fashions v Dunnes Stores and Dunnes Stores (Limerick),Request for a preliminary ruling from the Supreme Court (Ireland),,ECLI:EU:C:2014:2013,62013CJ0345,Yes,Opinion of Advocate General Wathelet delivered on 2 April 2014,ECLI:EU:C:2014:206,Yes,62013CJ0345
Case C‑450/13 P,Case C‑450/13 P Donaldson Filtration Deutschland v OHIM,,,,,No,,,Yes,62013CO0450
Case C‑658/11,Case C‑658/11 Parliament v Council,,,ECLI:EU:C:2014:2025,62011CJ0658,Yes,Opinion of Advocate General Bot delivered on 30 January 2014,ECLI:EU:C:2014:41,Yes,62011CJ0658
Case C‑37/13 P,Case C‑37/13 P Nexans and Nexans France v Commission,,,ECLI:EU:C:2014:2030,62013CJ0037,Yes,Opinion of Advocate General Kokott delivered on 3 April 2014,ECLI:EU:C:2014:223,Yes,62013CJ0037
Case C‑264/12,Case C‑264/12 Sindicato Nacional dos Profissionais de Seguros e Afins v Fidelidade Mundial,Request for a preliminary ruling from the Tribunal do Trabalho do Porto,,,,No,,,Yes,62012CO0264
Case C‑547/11,Case C‑547/11 Commission v Italy,,,ECLI:EU:C:2014:1319,62011CJ0547,No,,,No,
Case C‑285/13 P,Case C‑285/13 P Bimbo v OHIM,,,,,No,,,No,
Case C‑448/13 P,Case C‑448/13 P Delphi Technologies v OHIM,,,,,No,,,No,
Case C‑13/14,Case C‑13/14 Municipiul Piatra Neamț v Ministerul Dezvoltării Regionale și Administrației Publice,,Reference for a preliminary ruling — Manifest inadmissibility,,,No,,,No,
Case C‑28/14,Case C‑28/14 Pańczyk v Dyrektor Zakładu Emerytalno-Rentowego Ministerstwa Spraw Wewnętrznych i Administracji w Warszawie,,Reference for a preliminary ruling — Article 53(2) of the Rules of Procedure of the Court of Justice — Charter of Fundamental Rights of the European Union — Implementation of EU law — No such implementation — Clear lack of jurisdiction of the Court,,,No,,,No,
Case C‑552/12 P,Case C‑552/12 P Greece v Commission,,,,,No,,,No,
Case C‑370/13,Case C‑370/13 Teisseyre and Teisseyre v Minister Skarbu Państwa,,Reference for a preliminary ruling — Article 18 TFEU — Citizenship of the Union — Non-discrimination — Compensation for loss of abandoned immovable property outside the current borders of the Member State concerned — Citizenship condition — Lack of connection to EU law — Clear lack of jurisdiction of the Court,,,No,,,No,
Case C‑670/13 P,Case C‑670/13 P Cartoon Network v OHIM,,,,,No,,,No,
Case C‑683/13,Case C‑683/13 Pharmacontinente - Saúde e Higiene and Others v ACT,,Reference for a preliminary ruling — Article 99 of the Rules of Procedure of the Court of Justice — Processing of personal data — Directive 95/46/EC — Article 2 — Concept of ‘personal data’ — Articles 6 and 7 — Principles relating to data quality and criteria for making data processing legitimate — Article 17 — Security of processing — Working time — Record of working time — Access by the national authority responsible for monitoring working conditions — Employer’s obligation to make available the record of working time so as to allow its immediate consultation,,,No,,,No,
Case C‑45/14,Case C‑45/14 Criminal proceedings against Balázs and Papp,,"Reference for a preliminary ruling — Fundamental rights — Charter of Fundamental Rights of the European Union — Articles 47, 50 and 54 — Implementation of EU law — No such implementation — Clear lack of jurisdiction of the Court",,,No,,,No,
Case C‑76/13,Case C‑76/13 Commission v Portugal,,,ECLI:EU:C:2014:2029,62013CJ0076,No,,,No,
Case C‑573/12,Case C‑573/12 Ålands Vindkraft,Request for a preliminary ruling from the förvaltningsrätten i Linköping,"Reference for a preliminary ruling — National support scheme providing for the award of tradable green certificates for installations producing electricity from renewable energy sources — Obligation for electricity suppliers and certain users to surrender annually to the competent authority a certain number of green certificates — Refusal to award green certificates for electricity production installations located outside the Member State in question — Directive 2009/28/EC — Article 2, second paragraph, point (k), and Article 3(3) — Free movement of goods — Article 34 TFEU",ECLI:EU:C:2014:2037,62012CJ0573,Yes,Opinion of Advocate General Bot delivered on 28 January 2014,ECLI:EU:C:2014:37,Yes,62012CJ0573_SUM
Case C‑350/12 P,Case C‑350/12 P Council v In 't Veld,,,ECLI:EU:C:2014:2039,62012CJ0350,Yes,Opinion of Advocate General Sharpston delivered on 13 February 2014,ECLI:EU:C:2014:88,Yes,62012CJ0350_SUM
Joined Cases C‑129/13 and C‑130/13,Joined Cases C‑129/13 and C‑130/13 Kamino International Logistics and Datema Hellmann Worldwide Logistics,,,ECLI:EU:C:2014:2041,62013CJ0129,Yes,Opinion of Advocate General Wathelet delivered on 25 February 2014,ECLI:EU:C:2014:94,Yes,62013CJ0129_SUM
Case C‑165/13,Case C‑165/13 Gross v Hauptzollamt Braunschweig,Request for a preliminary ruling from the Bundesfinanzhof,,ECLI:EU:C:2014:2042,62013CJ0165,No,,,Yes,62013CJ0165_SUM
"Joined Cases C‑362/13, C‑363/13 and C‑407/13","Joined Cases C‑362/13, C‑363/13 and C‑407/13 Fiamingo and Others",,,ECLI:EU:C:2014:2044,62013CJ0362,No,,,Yes,62013CJ0362_SUM
Case C‑524/13,Case C‑524/13 Braun,Request for a preliminary ruling from the Amtsgericht Karlsruhe,Reference for a preliminary ruling — Taxation — Directive 69/335/EEC — Indirect taxes on the raising of capital — Article 10(c) — Conversion of a capital company into a different type of capital company not involving any increase in capital — Fees demanded for the drawing up of a notarial act recording that conversion,ECLI:EU:C:2014:2045,62013CJ0524,No,,,Yes,62013CJ0524_SUM
Case C‑19/14,Case C‑19/14 Talasca and Talasca v Stadt Kevelaer,Request for a preliminary ruling from the Sozialgericht Duisburg,Reference for a preliminary ruling — Articles 53(2) and 94 of the Rules of Procedure of the Court — Lack of sufficient information concerning the factual and regulatory background to the dispute in the main proceedings and the reasons why an answer to the question referred for a preliminary ruling is considered necessary — Manifest inadmissibility,,,No,,,Yes,62014CO0019_SUM
Case C‑92/14,Case C‑92/14 Tudoran and Others v SC Suport Colect,Request for a preliminary ruling from the Judecătoria Câmpulung,Reference for a preliminary ruling — Directives 93/13/EEC and 2008/48/EC — Application ratione temporis and ratione materiae — Events occurring prior to the accession of Romania to the European Union — Charter of Fundamental Rights of the European Union — Lack of implementation of EU Law — Manifest lack of jurisdiction — Articles 49 TFEU and 56 TFEU — Manifest inadmissibility,,,No,,,Yes,62014CO0092_SUM
Case C‑83/13,Case C‑83/13 Fonnship and Svenska Transportarbetareförbundet,Request for a preliminary ruling from the Arbetsdomstolen,,ECLI:EU:C:2014:2053,62013CJ0083,Yes,Opinion of Advocate General Mengozzi delivered on 1 April 2014,ECLI:EU:C:2014:201,Yes,62013CJ0083_SUM
Case C‑295/12 P,Case C‑295/12 P Telefónica and Telefónica de España v Commission,,,ECLI:EU:C:2014:2062,62012CJ0295,Yes,Opinion of Advocate General Wathelet delivered on 26 September 2013,ECLI:EU:C:2013:619,Yes,62012CJ0295_SUM
Case C‑358/12,Case C‑358/12 Consorzio Stabile Libor Lavori Pubblici,Request for a preliminary ruling from the Tribunale amministrativo regionale per la Lombardia,Reference for a preliminary ruling — Public procurement — Contracts falling below the threshold provided for in Directive 2004/18/EC — Articles 49 TFEU and 56 TFEU — Principle of proportionality — Conditions for exclusion from a tender procedure — Criteria for qualitative selection relating to the personal situation of the tenderer — Obligations relating to the payment of social security contributions — Definition of serious infringement — Difference between the sums owed and those paid which exceeds EUR 100 and is greater than 5% of the sums owed,ECLI:EU:C:2014:2063,62012CJ0358,No,,,Yes,62012CJ0358_SUM
Case C‑421/12,Case C‑421/12 Commission v Belgium,,,ECLI:EU:C:2014:2064,62012CJ0421,Yes,Opinion of Advocate General Cruz Villalón delivered on 26 November 2013,ECLI:EU:C:2013:769,Yes,62012CJ0421_SUM
Case C‑138/13,Case C‑138/13 Dogan v Bundesrepublik Deutschland,Request for a preliminary ruling from the Verwaltungsgericht Berlin,Reference for a preliminary ruling — EEC-Turkey Association Agreement — Additional Protocol — Article 41(1) — Right of residence of family members of Turkish nationals — National legislation requiring evidence of basic linguistic knowledge with regard to the family member wishing to enter the national territory — Lawfulness — Directive 2003/86/EC — Family reunification — Article 7(2) — Compatibility,ECLI:EU:C:2014:2066,62013CJ0138,Yes,Opinion of Advocate General Mengozzi delivered on 30 April 2014,ECLI:EU:C:2014:287,Yes,62013CJ0138_SUM
Case C‑183/13,Case C‑183/13 Fazenda Pública v Banco Mais,Request for a preliminary ruling from the Supremo Tribunal Administrativo,,ECLI:EU:C:2014:2056,62013CJ0183,No,,,Yes,62013CJ0183_SUM
Case C‑198/13,Case C‑198/13 Julián Hernández and Others,Request for a preliminary ruling from the Juzgado de lo Social No 1 de Benidorm,,ECLI:EU:C:2014:2055,62013CJ0198,No,,,Yes,62013CJ0198_SUM
Case C‑213/13,Case C‑213/13 Impresa Pizzarotti,Request for a preliminary ruling from the Consiglio di Stato,Reference for a preliminary ruling — Public works contracts — Directive 93/37/EEC — ‘Undertaking to let’ buildings which have not yet been constructed — Decision of a national court having the authority of res judicata — Scope of the principle of res judicata in the event of a situation which is incompatible with EU law,ECLI:EU:C:2014:2067,62013CJ0213,Yes,Opinion of Advocate General Wahl delivered on 15 May 2014,ECLI:EU:C:2014:335,Yes,62013CJ0213_SUM
Case C‑220/13 P,Case C‑220/13 P Nikolaou v Court of Auditors,,,ECLI:EU:C:2014:2057,62013CJ0220,Yes,Opinion of Advocate General Bot delivered on 20 March 2014,ECLI:EU:C:2014:176,Yes,62013CJ0220_SUM
Case C‑244/13,Case C‑244/13 Ogieriakhi v Minister for Justice and Equality and Others,Request for a preliminary ruling from the High Court (Ireland),Reference for a preliminary ruling — Directive 2004/38/EC — Article 16(2) — Right of permanent residence for family members of a Union citizen who are third-country nationals — Situation where spouses no longer live together — Immediate installation with other partners during a continuous period of residence of five years — Regulation (EEC) No 1612/68 — Article 10(3) — Conditions — Infringement of EU law by a Member State — Examination of the nature of the infringement at issue — Need for a reference for a preliminary ruling,ECLI:EU:C:2014:2068,62013CJ0244,Yes,Opinion of Advocate General Bot delivered on 14 May 2014,ECLI:EU:C:2014:323,Yes,62013CJ0244_SUM
Case C‑307/13,Case C‑307/13 Ivansson and Others,Request for a preliminary ruling from the Helsingborgs tingsrätt,Reference for a preliminary ruling — Internal market — Directive 98/34/EC — Third subparagraph of Article 8(1) — Information procedure in the field of technical rules and regulations — Notion of ‘technical regulation’ — Hens for egg production — Shortening of a timetable for implementation originally envisaged for the entry into force of the technical rule — Obligation to notify — Conditions — Discrepancies between language versions,ECLI:EU:C:2014:2058,62013CJ0307,No,,,Yes,62013CJ0307_SUM
Joined Cases C‑358/13 and C‑181/14,Joined Cases C‑358/13 and C‑181/14 D. and G.,Request for a preliminary ruling from the Bundesgerichtshof,,ECLI:EU:C:2014:2060,62013CJ0358,Yes,Opinion of Advocate General Bot delivered on 12 June 2014,ECLI:EU:C:2014:1927,Yes,62013CJ0358_SUM
Case C‑420/13,Case C‑420/13 Netto Marken-Discount v Deutsches Patent- und Markenamt,Request for a preliminary ruling from the Bundespatentgericht,Reference for a preliminary ruling — Trade marks — Directive 2008/95/EC — Identification of goods or services for which the protection of a trade mark is sought — Requirements of clarity and precision — Nice Classification — Retail trade — Bringing together of services,ECLI:EU:C:2014:2069,62013CJ0420,No,,,Yes,62013CJ0420_SUM
Case C‑421/13,Case C‑421/13 Apple v Deutsches Patent- und Markenamt,Request for a preliminary ruling from the Bundespatentgericht,"Reference for a preliminary ruling — Trade marks — Directive 2008/95/EC — Articles 2 and 3 — Signs capable of constituting a trade mark — Distinctive character — Representation, by design, of the layout of a flagship store — Registration as a trade mark for ‘services’ connected with the products on sale in such a store",ECLI:EU:C:2014:2070,62013CJ0421,No,,,Yes,62013CJ0421_SUM
Joined Cases C‑141/12 and C‑372/12,"Joined Cases C‑141/12 and C‑372/12 YS v Minister voor Immigratie, Integratie en Asiel and Minister voor Immigratie, Integratie en Asiel v M and S",,"Reference for a preliminary ruling — Protection of individuals with regard to the processing of personal data — Directive 95/46/EC — Articles 2, 12 and 13 — Concept of ‘personal data’ — Scope of the right of access of a data subject — Data relating to the applicant for a residence permit and legal analysis contained in an administrative document preparatory to the decision — Charter of Fundamental Rights of the European Union — Articles 8 and 41",ECLI:EU:C:2014:2081,62012CJ0141,Yes,Opinion of Advocate General Sharpston delivered on 12 December 2013,ECLI:EU:C:2013:838,Yes,62012CJ0141_SUM
Case C‑335/12,Case C‑335/12 Commission v Portugal,,,ECLI:EU:C:2014:2084,62012CJ0335,Yes,Opinion of Advocate General Cruz Villalón delivered on 6 March 2014,ECLI:EU:C:2014:132,Yes,62012CJ0335_SUM
Case C‑472/12,Case C‑472/12 Panasonic Italia and Others v Agenzia delle Dogane,Request for a preliminary ruling from the Corte suprema di cassazione,"Reference for a preliminary ruling — Regulation (EEC) No 2658/87 — Common Customs Tariff — Tariff classification — Combined Nomenclature — Headings 8471 and 8528 — Plasma screens — Function as computer screen — Potential function as a television screen, after insertion of a video card",ECLI:EU:C:2014:2082,62012CJ0472,No,,,Yes,62012CJ0472_SUM
Case C‑553/12 P,Case C‑553/12 P Commission v DEI,,,ECLI:EU:C:2014:2083,62012CJ0553,Yes,Opinion of Advocate General Wathelet delivered on 5 December 2013,ECLI:EU:C:2013:807,Yes,62012CJ0553_SUM
Case C‑48/13,Case C‑48/13 Nordea Bank Danmark v Skatteministeriet,Request for a preliminary ruling from the Østre Landsret,,ECLI:EU:C:2014:2087,62013CJ0048,Yes,Opinion of Advocate General Kokott delivered on 13 March 2014,ECLI:EU:C:2014:153,Yes,62013CJ0048_SUM
Joined Cases C‑58/13 and C‑59/13,Joined Cases C‑58/13 and C‑59/13 Torresi and Torresi v Consiglio dell’Ordine degli Avvocati di Macerata,,Reference for a preliminary ruling — Freedom of movement for persons — Access to the profession of lawyer — Possibility of refusing registration in the Bar Council register to nationals of a Member State who have obtained their professional legal qualification in another Member State — Abuse of rights,ECLI:EU:C:2014:2088,62013CJ0058,Yes,Opinion of Advocate General Wahl delivered on 10 April 2014,ECLI:EU:C:2014:265,Yes,62013CJ0058_SUM
Case C‑173/13,"Case C‑173/13 Leone and Leone v Garde des Sceaux, ministre de la Justice and Caisse nationale de retraite des agents des collectivités locales",Request for a preliminary ruling from the Cour administrative d’appel de Lyon,,ECLI:EU:C:2014:2090,62013CJ0173,Yes,Opinion of Advocate General Jääskinen delivered on 27 February 2014,ECLI:EU:C:2014:117,Yes,62013CJ0173_SUM
Case C‑272/13,Case C‑272/13 Equoland v Agenzia delle Dogane – Ufficio delle Dogane di Livorno,Request for a preliminary ruling from the Commissione tributaria regionale per la Toscana,Reference for a preliminary ruling — Value added tax — Sixth Directive 77/388/EEC — Directive 2006/112/EC — Exemption of imported goods which are intended to be placed under warehousing arrangements other than customs — Obligation to physically place the goods in the warehouse — Non-compliance — Obligation to pay VAT notwithstanding the fact that it has already been settled under the reverse charge mechanism,ECLI:EU:C:2014:2091,62013CJ0272,No,,,Yes,62013CJ0272_SUM
Case C‑338/13,Case C‑338/13 Noorzia v Bundesministerin für Inneres,Request for a preliminary ruling from the Verwaltungsgerichtshof,Reference for a preliminary ruling — Right to family reunification — Directive 2003/86/EC — Article 4(5) — Provision of national law under which the sponsor and his/her spouse must have reached the age of 21 by the date on which the application for family reunification is lodged — Interpretation in conformity with EU law,ECLI:EU:C:2014:2092,62013CJ0338,Yes,Opinion of Advocate General Mengozzi delivered on 30 April 2014,ECLI:EU:C:2014:288,Yes,62013CJ0338_SUM
Case C‑438/13,Case C‑438/13 BCR Leasing IFN v Agenţia Naţională de Administrare Fiscală,Request for a preliminary ruling from the Curtea de Apel Bucureşti,,ECLI:EU:C:2014:2093,62013CJ0438,No,,,Yes,62013CJ0438_SUM
